job_link,job_title,comp_name,location,expire_date,update_date,industry,salary,staff_type,job_level,exp,Phương thức làm việc
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-chinh-chuyen-vien-cao-cap-van-hanh-mo-hinh-trung-tam-quan-tri-du-lieu.35BDACC0.html,Chuyên viên chính/Chuyên viên cao cấp vận hành mô hình - Trung tâm Quản trị dữ liệu,Ngân Hàng TMCP Tiên Phong (TPBank),Hà Nội,Cơ hội ứng tuyển chỉ còn: 6 ngày,['28-10-2023'],"Ngân hàng, Tài chính / Đầu tư, CNTT - Phần mềm",Cạnh tranh,Nhân viên chính thức,Nhân viên,2 - 7 Năm,nan
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-cao-cap-phan-tich-va-tich-hop-du-lieu-intergration-engineering.35BDFE60.html,Chuyên viên cao cấp phân tích và tích hợp dữ liệu (Intergration Engineering),Ngân hàng TMCP Đại Chúng Việt Nam - PVcomBank,Hà Nội,Hạn nộp: 10-12-2023,['11-11-2023'],"CNTT - Phần cứng / Mạng, CNTT - Phần mềm, Nhân sự",Cạnh tranh,Nhân viên chính thức,Nhân viên,3 - 5 Năm,nan
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-cao-cap-phan-tich-va-tich-hop-du-lieu-intergration-engineering.35BEEC2C.html,Chuyên viên cao cấp phân tích và tích hợp dữ liệu (Intergration Engineering),Ngân hàng TMCP Đại Chúng Việt Nam - PVcomBank,Hà Nội,Hạn nộp: 30-11-2023,['14-11-2023'],"CNTT - Phần cứng / Mạng, CNTT - Phần mềm, Nhân sự",Cạnh tranh,Nhân viên chính thức,Nhân viên,3 - 5 Năm,nan
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-cao-cap-phan-tich-va-tich-hop-du-lieu-intergration-engineering.35BDBCB2.html,Chuyên viên cao cấp phân tích và tích hợp dữ liệu (Intergration Engineering),Ngân hàng TMCP Đại Chúng Việt Nam - PVcomBank,Hà Nội,Hạn nộp: 06-12-2023,['07-11-2023'],"CNTT - Phần cứng / Mạng, CNTT - Phần mềm, Nhân sự",Cạnh tranh,Nhân viên chính thức,Nhân viên,3 - 5 Năm,nan
https://careerbuilder.vn/vi/tim-viec-lam/hcm-merchandise-planning-specialist-lush.35BE5F10.html,HCM - Merchandise Planning Specialist - Lush,CÔNG TY CỔ PHẦN MAISON RETAIL MANAGEMENT INTERNATIONAL,Hồ Chí Minh,Hạn nộp: 27-11-2023,['03-11-2023'],"Kế toán / Kiểm toán, Tài chính / Đầu tư, Dệt may / Da giày / Thời trang",Cạnh tranh,Nhân viên chính thức,Nhân viên,1 - 2 Năm,nan
https://careerbuilder.vn/vi/tim-viec-lam/senior-business-analyst-officer.35BDF0B2.html,Senior Business Analyst Officer,LOTTE FINANCE VIETNAM,Hà Nội,Hạn nộp: 03-12-2023,['04-11-2023'],"CNTT - Phần mềm, Chứng khoán, Dịch vụ khách hàng",Cạnh tranh,Nhân viên chính thức,Nhân viên,3 - 5 Năm,nan
https://careerbuilder.vn/vi/tim-viec-lam/senior-business-analyst-officer.35BEF8A5.html,Senior Business Analyst Officer,LOTTE FINANCE VIETNAM,Hà Nội,Hạn nộp: 30-12-2023,['14-11-2023'],"CNTT - Phần mềm, Chứng khoán, Dịch vụ khách hàng",Cạnh tranh,Nhân viên chính thức,Nhân viên,3 - 5 Năm,nan
https://careerbuilder.vn/vi/tim-viec-lam/demand-and-supply-planning-team-leader.35BE13B9.html,Demand and Supply Planning Team Leader,Lovepop Vietnam,Đà Nẵng,Hạn nộp: 22-12-2023,['13-11-2023'],"Vận chuyển / Giao nhận /Kho vận, Xuất nhập khẩu, Sản xuất / Vận hành sản xuất",Cạnh tranh,Nhân viên chính thức,Trưởng nhóm / Giám sát,Trên2 Năm,nan
https://careerbuilder.vn/vi/tim-viec-lam/sales-admin-executive-temporary.35BEEB3F.html,Sales Admin Executive - Temporary,CÔNG TY TNHH ARCHER DANIELS MIDLAND VN,Hà Nam,Hạn nộp: 30-11-2023,['14-11-2023'],"Dịch vụ khách hàng, Nông nghiệp",Cạnh tranh,Thời vụ/ Nghề tự do,Nhân viên,2 - 3 Năm,nan
https://careerbuilder.vn/vi/tim-viec-lam/chief-marketing-officer.35BEEBDE.html,Chief Marketing Officer,CÔNG TY TNHH THỜI TRANG VÀ MỸ PHẨM ÂU CHÂU,Hồ Chí Minh,Hạn nộp: 30-11-2023,['14-11-2023'],"Tiếp thị / Marketing, Bán lẻ / Bán sỉ, Dệt may / Da giày / Thời trang",Cạnh tranh,Nhân viên chính thức,Giám đốc,3 - 5 Năm,nan
